class,kind,type,qualifier,severity,line,procedure,procedure_id,file,trace,key,qualifier_tags,hash,bug_id,always_report,advice
PROVER,ERROR,RESOURCE_LEAK, resource of type android.database.sqlite.SQLiteCursor acquired by call to rawQuery(...) at line 17 is not released after line 17,HIGH,17,void CheckSqlRawqueryRuleTest.test(),com.qihoo.ruletestcases.CheckSqlRawqueryRuleTest.test():void.09c655043869554424bb60b2005c8e18,app/src/main/java/com/qihoo/ruletestcases/CheckSqlRawqueryRuleTest.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/com/qihoo/ruletestcases/CheckSqlRawqueryRuleTest.java"",""line_number"":16,""description"":""start of procedure test()"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""void CheckSqlRawqueryRuleTest.test()""},{""tag"":""name_id"",""value"":""com.qihoo.ruletestcases.CheckSqlRawqueryRuleTest.test():void.09c655043869554424bb60b2005c8e18""}]},{""level"":0,""filename"":""app/src/main/java/com/qihoo/ruletestcases/CheckSqlRawqueryRuleTest.java"",""line_number"":17,""description"":"""",""node_tags"":[]}]}",289003857,<qualifier_tags><line>17</line><call_procedure>rawQuery(...)</call_procedure><call_line>17</call_line></qualifier_tags>,651579144,1,false,
PROVER,ERROR,NULL_DEREFERENCE,object list last assigned on line 17 could be null and is dereferenced at line 18,HIGH,18,void NullPointerTest.test1(),com.qihoo.ruletestcases.NullPointerTest.test1():void.dca82ea974b8d8a60a264206f8d1c77d,app/src/main/java/com/qihoo/ruletestcases/NullPointerTest.java,"{""trace"":[{""level"":0,""filename"":""app/src/main/java/com/qihoo/ruletestcases/NullPointerTest.java"",""line_number"":16,""description"":""start of procedure test1()"",""node_tags"":[{""tag"":""kind"",""value"":""procedure_start""},{""tag"":""name"",""value"":""void NullPointerTest.test1()""},{""tag"":""name_id"",""value"":""com.qihoo.ruletestcases.NullPointerTest.test1():void.dca82ea974b8d8a60a264206f8d1c77d""}]},{""level"":0,""filename"":""app/src/main/java/com/qihoo/ruletestcases/NullPointerTest.java"",""line_number"":17,""description"":"""",""node_tags"":[]},{""level"":0,""filename"":""app/src/main/java/com/qihoo/ruletestcases/NullPointerTest.java"",""line_number"":18,""description"":"""",""node_tags"":[]}]}",174956197,<qualifier_tags><bucket>B1</bucket><line>18</line><assigned_line>17</assigned_line><value>list</value></qualifier_tags>,25238872,4,false,
