name,name_id,specs,time,to,symop,err,file,line,loc,top,signature,weight,proof_coverage,rank,in_calls,out_calls,proof_trace
"void CheckOverrideOpenFileTest.<clinit>()","com.qihoo.ruletestcases.CheckOverrideOpenFileTest.<clinit>():void.09943fe0ab97b731abb213eaccd93e8c",1,0,NONE,12,0,app/src/main/java/com/qihoo/ruletestcases/CheckOverrideOpenFileTest.java,17,23,N,"class java.lang.Object *void CheckOverrideOpenFileTest.<clinit>()(class java.lang.String *field)",0,0.00,0.00,0,0,17
"CheckOverrideOpenFileTest.<init>()","com.qihoo.ruletestcases.CheckOverrideOpenFileTest.<init>().d26c7c0f90ee16b3f28436a064df5f9c",1,0,NONE,16,0,app/src/main/java/com/qihoo/ruletestcases/CheckOverrideOpenFileTest.java,15,23,N,"void CheckOverrideOpenFileTest.<init>()(class com.qihoo.ruletestcases.CheckOverrideOpenFileTest *this)",0,0.00,0.00,0,0,15
"ParcelFileDescriptor CheckOverrideOpenFileTest.openFile(Uri,String)","com.qihoo.ruletestcases.CheckOverrideOpenFileTest.openFile(android.net.Uri,java.lang.String):android.ee3b40afd8e1a737e62b61f4a2532807",1,0,NONE,70,0,app/src/main/java/com/qihoo/ruletestcases/CheckOverrideOpenFileTest.java,19,23,N,"class android.os.ParcelFileDescriptor *ParcelFileDescriptor CheckOverrideOpenFileTest.openFile(Uri,String)(class com.qihoo.ruletestcases.CheckOverrideOpenFileTest *this, class android.net.Uri *paramUri, class java.lang.String *paramString)",0,0.00,0.00,0,0,19 20 21
"CheckSqlRawqueryRuleTest.<init>()","com.qihoo.ruletestcases.CheckSqlRawqueryRuleTest.<init>().1dcd072df69dfbd9e2d7a22b277bc2f6",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/CheckSqlRawqueryRuleTest.java,14,26,N,"void CheckSqlRawqueryRuleTest.<init>()(class com.qihoo.ruletestcases.CheckSqlRawqueryRuleTest *this)",0,0.00,0.00,0,0,14
"void CheckSqlRawqueryRuleTest.test()","com.qihoo.ruletestcases.CheckSqlRawqueryRuleTest.test():void.09c655043869554424bb60b2005c8e18",1,0,NONE,28,1,app/src/main/java/com/qihoo/ruletestcases/CheckSqlRawqueryRuleTest.java,16,26,N,"void void CheckSqlRawqueryRuleTest.test()(class com.qihoo.ruletestcases.CheckSqlRawqueryRuleTest *this)",0,0.00,0.00,0,0,16 17 18
"void CheckSqlRawqueryRuleTest.test2()","com.qihoo.ruletestcases.CheckSqlRawqueryRuleTest.test2():void.3cbc3120e7ea909362187d01c120ec55",1,0,NONE,56,0,app/src/main/java/com/qihoo/ruletestcases/CheckSqlRawqueryRuleTest.java,20,26,N,"void void CheckSqlRawqueryRuleTest.test2()(class com.qihoo.ruletestcases.CheckSqlRawqueryRuleTest *this)",0,0.00,0.00,0,0,20 21 22 23 24 25
"DDosBlockRuleTest.<init>()","com.qihoo.ruletestcases.DDosBlockRuleTest.<init>().1791100e21da0052a56f401a2122d78b",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/DDosBlockRuleTest.java,12,22,N,"void DDosBlockRuleTest.<init>()(class com.qihoo.ruletestcases.DDosBlockRuleTest *this)",0,0.00,0.00,0,0,12
"void DDosBlockRuleTest.onCreate(Bundle)","com.qihoo.ruletestcases.DDosBlockRuleTest.onCreate(android.os.Bundle):void.86be1e22f74b1877682bfc9e8a0955c6",1,0,NONE,56,0,app/src/main/java/com/qihoo/ruletestcases/DDosBlockRuleTest.java,15,22,N,"void void DDosBlockRuleTest.onCreate(Bundle)(class com.qihoo.ruletestcases.DDosBlockRuleTest *this, class android.os.Bundle *savedInstanceState)",0,0.00,0.00,0,0,15 16 18 19 21
"DisplayLeakActivity2.<init>()","com.qihoo.ruletestcases.DisplayLeakActivity2.<init>().a920d31c84eb91f501f25e19f2ad5cfb",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/DisplayLeakActivity2.java,9,10,N,"void DisplayLeakActivity2.<init>()(class com.qihoo.ruletestcases.DisplayLeakActivity2 *this)",0,0.00,0.00,0,0,9
"DisplayLeakActivity3.<init>()","com.qihoo.ruletestcases.DisplayLeakActivity3.<init>().e066e3dc5d98a032653617d9bda216bf",1,0,NONE,18,0,app/src/main/java/com/qihoo/ruletestcases/DisplayLeakActivity3.java,9,10,N,"void DisplayLeakActivity3.<init>()(class com.qihoo.ruletestcases.DisplayLeakActivity3 *this)",0,0.00,0.00,0,0,9
